Team,Round 18 Opponent,Day (R18),Round 19 Opponent,Day (R19),Round 20 Opponent,Day (R20)
Anadolu Efes,@ ASVEL,T1,Crvena Zvezda,T2,Paris Basketball,T2
Real Madrid,@ Monaco,T2,Dubai Basketball,T2,@ ASVEL,T1
Zalgiris Kaunas,Panathinaikos,T1,@ Hapoel Tel Aviv,T1,@ Virtus Bologna,T2
Maccabi Tel Aviv,@ Partizan Belgrade,T2,@ Bayern Munich,T2,@ Barcelona,T2
Monaco,Real Madrid,T2,@ Barcelona,T1,Partizan Belgrade,T1
Paris Basketball,Crvena Zvezda,T1,@ ASVEL,T1,@ Anadolu Efes,T2
Hapoel Tel Aviv,@ Bayern Munich,T1,Zalgiris Kaunas,T1,Dubai Basketball,T1
ASVEL,Anadolu Efes,T1,Paris Basketball,T1,Real Madrid,T1
Olympiacos,@ Virtus Bologna,T2,@ Panathinaikos,T2,@ Fenerbahçe,T1
Fenerbahçe,Barcelona,T1,@ Baskonia,T2,Olympiacos,T1
Partizan Belgrade,Maccabi Tel Aviv,T2,@ Valencia Basket,T1,@ Monaco,T1
Bayern Munich,Hapoel Tel Aviv,T1,Maccabi Tel Aviv,T2,Baskonia,T2
Crvena Zvezda,@ Paris Basketball,T1,@ Anadolu Efes,T2,Valencia Basket,T1
Barcelona,@ Fenerbahçe,T1,Monaco,T1,Maccabi Tel Aviv,T2
Panathinaikos,@ Zalgiris Kaunas,T1,Olympiacos,T2,Olimpia Milano,T1
Valencia Basket,@ Baskonia,T1,Partizan Belgrade,T1,@ Crvena Zvezda,T1
Olimpia Milano,@ Dubai Basketball,T1,@ Virtus Bologna,T2,@ Panathinaikos,T1
Virtus Bologna,Olympiacos,T2,Olimpia Milano,T2,Zalgiris Kaunas,T2
Baskonia,Valencia Basket,T1,Fenerbahçe,T2,@ Bayern Munich,T2
Dubai Basketball,Olimpia Milano,T1,@ Real Madrid,T2,@ Hapoel Tel Aviv,T1
