Team,Round 19 Opponent,Day (R19),Round 20 Opponent,Day (R20),Round 21 Opponent,Day (R21),Round 22 Opponent,Day (R22)
Anadolu Efes,Crvena Zvezda,T2,Paris Basketball,T2,@ Olimpia Milano,T2,Baskonia,T1
Real Madrid,Dubai Basketball,T2,@ ASVEL,T1,Maccabi Tel Aviv,T1,Barcelona,T2
Zalgiris Kaunas,@ Hapoel Tel Aviv,T1,@ Virtus Bologna,T2,Crvena Zvezda,T1,@ Maccabi Tel Aviv,T1
Maccabi Tel Aviv,@ Bayern Munich,T2,@ Barcelona,T2,@ Real Madrid,T1,Zalgiris Kaunas,T1
Monaco,@ Barcelona,T1,Partizan Belgrade,T1,@ Valencia Basket,T1,@ Paris Basketball,T1
Paris Basketball,@ ASVEL,T1,@ Anadolu Efes,T2,@ Hapoel Tel Aviv,T1,Monaco,T1
Hapoel Tel Aviv,Zalgiris Kaunas,T1,Dubai Basketball,T1,Paris Basketball,T1,@ ASVEL,T2
ASVEL,Paris Basketball,T1,Real Madrid,T1,@ Baskonia,T2,Hapoel Tel Aviv,T2
Olympiacos,@ Panathinaikos,T2,@ Fenerbahçe,T1,Bayern Munich,T1,@ Partizan Belgrade,T1
Fenerbahçe,@ Baskonia,T2,Olympiacos,T1,@ Dubai Basketball,T1,Valencia Basket,T2
Partizan Belgrade,@ Valencia Basket,T1,@ Monaco,T1,@ Barcelona,T2,Olympiacos,T1
Bayern Munich,Maccabi Tel Aviv,T2,Baskonia,T2,@ Olympiacos,T1,Panathinaikos,T1
Crvena Zvezda,@ Anadolu Efes,T2,Valencia Basket,T1,@ Zalgiris Kaunas,T1,@ Olimpia Milano,T1
Barcelona,Monaco,T1,Maccabi Tel Aviv,T2,Partizan Belgrade,T2,@ Real Madrid,T2
Panathinaikos,Olympiacos,T2,Olimpia Milano,T1,Virtus Bologna,T1,@ Bayern Munich,T1
Valencia Basket,Partizan Belgrade,T1,@ Crvena Zvezda,T1,Monaco,T1,@ Fenerbahçe,T2
Olimpia Milano,@ Virtus Bologna,T2,@ Panathinaikos,T1,Anadolu Efes,T2,Crvena Zvezda,T1
Virtus Bologna,Olimpia Milano,T2,Zalgiris Kaunas,T2,@ Panathinaikos,T1,@ Dubai Basketball,T2
Baskonia,Fenerbahçe,T2,@ Bayern Munich,T2,ASVEL,T2,@ Anadolu Efes,T1
Dubai Basketball,@ Real Madrid,T2,@ Hapoel Tel Aviv,T1,Fenerbahçe,T1,Virtus Bologna,T2
